gw1n1-000,GW1N-LV1CS30C6/I5,GW1N,GW1N-1,WLCSP30,LV,C6/I5,6,24,1152,864,,,72Kb,96Kb,,1,
gw1n1-001,GW1N-LV1CS30C5/I4,GW1N,GW1N-1,WLCSP30,LV,C5/I4,5,24,1152,864,,,72Kb,96Kb,,1,
gw1n1-002,GW1N-LV1QN32C6/I5,GW1N,GW1N-1,QFN32,LV,C6/I5,6,26,1152,864,,,72Kb,96Kb,,1,
gw1n1-004,GW1N-LV1QN48C6/I5,GW1N,GW1N-1,QFN48,LV,C6/I5,6,41,1152,864,,,72Kb,96Kb,,1,
gw1n1-010,GW1N-LV1LQ100C6/I5,GW1N,GW1N-1,LQFP100,LV,C6/I5,6,80,1152,864,,,72Kb,96Kb,,1,
gw1n1-012,GW1N-LV1LQ144C6/I5,GW1N,GW1N-1,LQFP144,LV,C6/I5,6,117,1152,864,,,72Kb,96Kb,,1,
gw1nz1-006,GW1NZ-LV1FN32C6/I5,GW1NZ,GW1NZ-1,QFN32,LV,C6/I5,6,26,1152,864,,4Kb,72Kb,64Kb,,1,
gw1nz1-008,GW1NZ-LV1CS16C6/I5,GW1NZ,GW1NZ-1,WLCSP16,LV,C6/I5,6,11,1152,864,,4Kb,72Kb,64Kb,,1,
gw1nz1-009,GW1NZ-LV1FN32C5/I4,GW1NZ,GW1NZ-1,QFN32,LV,C5/I4,5,26,1152,864,,4Kb,72Kb,64Kb,,1,
gw1nz1-010,GW1NZ-ZV1FN32I2,GW1NZ,GW1NZ-1,QFN32,ZV,I2,2,26,1152,864,,4Kb,72Kb,64Kb,,1,
gw1nz1-011,GW1NZ-ZV1FN32I3,GW1NZ,GW1NZ-1,QFN32,ZV,I3,3,26,1152,864,,4Kb,72Kb,64Kb,,1,
gw1nz1-012,GW1NZ-ZV1CS16I2,GW1NZ,GW1NZ-1,WLCSP16,ZV,I2,2,11,1152,864,,4Kb,72Kb,64Kb,,1,
gw1nz1-013,GW1NZ-ZV1CS16I3,GW1NZ,GW1NZ-1,WLCSP16,ZV,I3,3,11,1152,864,,4Kb,72Kb,64Kb,,1,
gw1nz1-014,GW1NZ-LV1QN48ES,GW1NZ,GW1NZ-1,QFN48,LV,ES,5,41,1152,864,,4Kb,72Kb,64Kb,,1,
gw1nz1-015,GW1NZ-LV1QN48C6/I5,GW1NZ,GW1NZ-1,QFN48,LV,C6/I5,6,41,1152,864,,4Kb,72Kb,64Kb,,1,
gw1nz1-017,GW1NZ-LV1FN32FC6/I5,GW1NZ,GW1NZ-1,QFN32F,LV,C6/I5,6,26,1152,864,,4Kb,72Kb,64Kb,,1,
gw1nz1-018,GW1NZ-LV1FN32FC5/I4,GW1NZ,GW1NZ-1,QFN32F,LV,C5/I4,5,26,1152,864,,4Kb,72Kb,64Kb,,1,
gw1nz1-019,GW1NZ-ZV1FN32FI2,GW1NZ,GW1NZ-1,QFN32F,ZV,I2,2,26,1152,864,,4Kb,72Kb,64Kb,,1,
gw1nz1-020,GW1NZ-ZV1FN32FI3,GW1NZ,GW1NZ-1,QFN32F,ZV,I3,3,26,1152,864,,4Kb,72Kb,64Kb,,1,
gw1nz1-021,GW1NZ-ZV1FN32FES,GW1NZ,GW1NZ-1,QFN32F,ZV,ES,2,26,1152,864,,4Kb,72Kb,64Kb,,1,
gw1nz1-022,GW1NZ-ZV1QN48I2,GW1NZ,GW1NZ-1,QFN48,ZV,I2,2,41,1152,864,,4Kb,72Kb,64Kb,,1,
gw1nz1-023,GW1NZ-ZV1QN48I3,GW1NZ,GW1NZ-1,QFN48,ZV,I3,3,41,1152,864,,4Kb,72Kb,64Kb,,1,
gw1nz1-026,GW1NZ-LV1CG25C6/I5,GW1NZ,GW1NZ-1,WLCSP25,LV,C6/I5,6,20,1152,864,,4Kb,72Kb,64Kb,,1,
gw1nz1-027,GW1NZ-LV1CG25C5/I4,GW1NZ,GW1NZ-1,WLCSP25,LV,C5/I4,5,20,1152,864,,4Kb,72Kb,64Kb,,1,
gw1nz1-028,GW1NZ-LV1FN24C6/I5,GW1NZ,GW1NZ-1,QFN24,LV,C6/I5,6,18,1152,864,,4Kb,72Kb,64Kb,,1,
gw1nz1c-000,GW1NZ-LV1QN48A3,GW1NZ,GW1NZ-1C,QFN48,LV,A3,3,40,1152,864,,4Kb,72Kb,64Kb,,1,
gw1n1s-000,GW1N-LV1SFN32C6/I5,GW1N,GW1N-1S,QFN32,LV,C6/I5,6,26,1152,864,,,72Kb,96Kb,,1,
gw1n1s-001,GW1N-LV1SCS30C6/I5,GW1N,GW1N-1S,WLCSP30,LV,C6/I5,6,24,1152,864,,,72Kb,96Kb,,1,
gw1n1p5-000,GW1N-LV1P5LQ100XC7/I6,GW1N,GW1N-1P5,LQFP100X,LV,C7/I6,7,81,1584,1584,,12Kb,72Kb,96Kb,,1,LQFP100X-LV
gw1n1p5-001,GW1N-LV1P5LQ100XC6/I5,GW1N,GW1N-1P5,LQFP100X,LV,C6/I5,6,81,1584,1584,,12Kb,72Kb,96Kb,,1,LQFP100X-LV
gw1n1p5-003,GW1N-UV1P5LQ100XC6/I5,GW1N,GW1N-1P5,LQFP100X,UV,C6/I5,6,81,1584,1584,,12Kb,72Kb,96Kb,,1,LQFP100X-UV
